window,arm,arm_display,repeat,status,exit_code,init,poses,coverage,first_output_delay_s,expected_duration_s,failure_reason,run_dir,vio_csv,vins_log,frontend_metrics,feature_bag,feature_bag_sha256
a03_5000_5900,klt,KLT,1,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,klt,KLT,2,PASS,0,1,378,0.837736,7.249139,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,klt,KLT,3,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,splg,SP+LG,1,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,splg,SP+LG,2,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,splg,SP+LG,3,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,xfeat_seed,XFeat-seed,1,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,xfeat_seed,XFeat-seed,2,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,xfeat_seed,XFeat-seed,3,PASS,0,1,403,0.893299,4.749193,44.993014,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/features.bag,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a01_16200_17100,klt,KLT,1,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/features.bag,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b
a01_16200_17100,klt,KLT,2,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/features.bag,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b
a01_16200_17100,klt,KLT,3,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/features.bag,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b
a01_16200_17100,splg,SP+LG,1,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/features.bag,270eb82d0640816937de993ed67d4ee49d8b442326fc1dc7c43b7c0d9efac9f2
a01_16200_17100,splg,SP+LG,2,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/features.bag,270eb82d0640816937de993ed67d4ee49d8b442326fc1dc7c43b7c0d9efac9f2
a01_16200_17100,splg,SP+LG,3,PASS,0,1,439,0.973318,1.150606,44.991521,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/features.bag,270eb82d0640816937de993ed67d4ee49d8b442326fc1dc7c43b7c0d9efac9f2
